Region;Trending Date;Videos Count;Record Id;Category Title
France;14/11/2017 0:00:00;8;1;Autos & Vehicles
France;15/11/2017 0:00:00;2;2;Autos & Vehicles
France;16/11/2017 0:00:00;6;3;Autos & Vehicles
France;17/11/2017 0:00:00;8;4;Autos & Vehicles
France;18/11/2017 0:00:00;4;5;Autos & Vehicles
France;19/11/2017 0:00:00;10;6;Autos & Vehicles
France;20/11/2017 0:00:00;12;7;Autos & Vehicles
France;21/11/2017 0:00:00;8;8;Autos & Vehicles
France;22/11/2017 0:00:00;4;9;Autos & Vehicles
France;23/11/2017 0:00:00;6;10;Autos & Vehicles
France;24/11/2017 0:00:00;8;11;Autos & Vehicles
France;25/11/2017 0:00:00;8;12;Autos & Vehicles
France;26/11/2017 0:00:00;10;13;Autos & Vehicles
France;27/11/2017 0:00:00;26;14;Autos & Vehicles
France;28/11/2017 0:00:00;16;15;Autos & Vehicles
France;29/11/2017 0:00:00;4;16;Autos & Vehicles
France;30/11/2017 0:00:00;10;17;Autos & Vehicles
France;1/12/2017 0:00:00;12;18;Autos & Vehicles
France;2/12/2017 0:00:00;6;19;Autos & Vehicles
France;3/12/2017 0:00:00;4;20;Autos & Vehicles
France;4/12/2017 0:00:00;8;21;Autos & Vehicles
France;5/12/2017 0:00:00;8;22;Autos & Vehicles
France;6/12/2017 0:00:00;8;23;Autos & Vehicles
France;7/12/2017 0:00:00;6;24;Autos & Vehicles
France;8/12/2017 0:00:00;2;25;Autos & Vehicles
France;9/12/2017 0:00:00;4;26;Autos & Vehicles
France;10/12/2017 0:00:00;2;27;Autos & Vehicles
France;12/12/2017 0:00:00;4;28;Autos & Vehicles
France;13/12/2017 0:00:00;6;29;Autos & Vehicles
France;14/12/2017 0:00:00;4;30;Autos & Vehicles
France;16/12/2017 0:00:00;6;31;Autos & Vehicles
France;17/12/2017 0:00:00;4;32;Autos & Vehicles
France;18/12/2017 0:00:00;8;33;Autos & Vehicles
France;19/12/2017 0:00:00;8;34;Autos & Vehicles
France;20/12/2017 0:00:00;2;35;Autos & Vehicles
France;21/12/2017 0:00:00;6;36;Autos & Vehicles
France;22/12/2017 0:00:00;8;37;Autos & Vehicles
France;23/12/2017 0:00:00;8;38;Autos & Vehicles
France;24/12/2017 0:00:00;2;39;Autos & Vehicles
France;26/12/2017 0:00:00;4;40;Autos & Vehicles
France;27/12/2017 0:00:00;4;41;Autos & Vehicles
France;28/12/2017 0:00:00;10;42;Autos & Vehicles
France;29/12/2017 0:00:00;6;43;Autos & Vehicles
France;30/12/2017 0:00:00;6;44;Autos & Vehicles
France;31/12/2017 0:00:00;6;45;Autos & Vehicles
France;1/1/2018 0:00:00;2;46;Autos & Vehicles
France;2/1/2018 0:00:00;2;47;Autos & Vehicles
France;3/1/2018 0:00:00;4;48;Autos & Vehicles
France;4/1/2018 0:00:00;2;49;Autos & Vehicles
France;5/1/2018 0:00:00;8;50;Autos & Vehicles
France;6/1/2018 0:00:00;2;51;Autos & Vehicles
France;8/1/2018 0:00:00;6;52;Autos & Vehicles
France;9/1/2018 0:00:00;8;53;Autos & Vehicles
France;12/1/2018 0:00:00;10;54;Autos & Vehicles
France;14/1/2018 0:00:00;2;55;Autos & Vehicles
France;15/1/2018 0:00:00;2;56;Autos & Vehicles
France;16/1/2018 0:00:00;8;57;Autos & Vehicles
France;17/1/2018 0:00:00;2;58;Autos & Vehicles
France;18/1/2018 0:00:00;6;59;Autos & Vehicles
France;19/1/2018 0:00:00;6;60;Autos & Vehicles
France;21/1/2018 0:00:00;4;61;Autos & Vehicles
France;22/1/2018 0:00:00;2;62;Autos & Vehicles
France;23/1/2018 0:00:00;12;63;Autos & Vehicles
France;24/1/2018 0:00:00;6;64;Autos & Vehicles
France;25/1/2018 0:00:00;12;65;Autos & Vehicles
France;26/1/2018 0:00:00;4;66;Autos & Vehicles
France;27/1/2018 0:00:00;10;67;Autos & Vehicles
France;28/1/2018 0:00:00;16;68;Autos & Vehicles
France;29/1/2018 0:00:00;14;69;Autos & Vehicles
France;30/1/2018 0:00:00;12;70;Autos & Vehicles
France;31/1/2018 0:00:00;2;71;Autos & Vehicles
France;1/2/2018 0:00:00;6;72;Autos & Vehicles
France;2/2/2018 0:00:00;6;73;Autos & Vehicles
France;3/2/2018 0:00:00;14;74;Autos & Vehicles
France;4/2/2018 0:00:00;4;75;Autos & Vehicles
France;5/2/2018 0:00:00;6;76;Autos & Vehicles
France;6/2/2018 0:00:00;10;77;Autos & Vehicles
France;7/2/2018 0:00:00;6;78;Autos & Vehicles
France;8/2/2018 0:00:00;10;79;Autos & Vehicles
France;9/2/2018 0:00:00;8;80;Autos & Vehicles
France;10/2/2018 0:00:00;6;81;Autos & Vehicles
France;11/2/2018 0:00:00;2;82;Autos & Vehicles
France;12/2/2018 0:00:00;6;83;Autos & Vehicles
France;13/2/2018 0:00:00;8;84;Autos & Vehicles
France;14/2/2018 0:00:00;2;85;Autos & Vehicles
France;15/2/2018 0:00:00;8;86;Autos & Vehicles
France;16/2/2018 0:00:00;8;87;Autos & Vehicles
France;17/2/2018 0:00:00;4;88;Autos & Vehicles
France;18/2/2018 0:00:00;4;89;Autos & Vehicles
France;19/2/2018 0:00:00;2;90;Autos & Vehicles
France;20/2/2018 0:00:00;8;91;Autos & Vehicles
France;21/2/2018 0:00:00;6;92;Autos & Vehicles
France;22/2/2018 0:00:00;2;93;Autos & Vehicles
France;23/2/2018 0:00:00;10;94;Autos & Vehicles
France;24/2/2018 0:00:00;4;95;Autos & Vehicles
France;25/2/2018 0:00:00;6;96;Autos & Vehicles
France;26/2/2018 0:00:00;12;97;Autos & Vehicles
France;27/2/2018 0:00:00;8;98;Autos & Vehicles
France;28/2/2018 0:00:00;6;99;Autos & Vehicles
